0.281525,0.005
0.258065,0.01
0.281525,0.015
0.289345,0.02
0.258065,0.025
0.273705,0.03
0.293255,0.035
0.258065,0.04
0.261975,0.045
0.297165,0.05
0.265885,0.055
0.258065,0.06
0.293255,0.065
0.289345,0.07
0.261975,0.075
0.258065,0.08
0.289345,0.085
0.289345,0.09
0.258065,0.095
0.258065,0.1
0.285435,0.105
0.293255,0.11
0.261975,0.115
0.261975,0.12
0.289345,0.125
0.289345,0.13
0.261975,0.135
0.261975,0.14
0.285435,0.145
0.293255,0.15
0.265885,0.155
0.261975,0.16
0.285435,0.165
0.289345,0.17
0.261975,0.175
0.258065,0.18
0.285435,0.185
0.293255,0.19
0.265885,0.195
0.258065,0.2
0.285435,0.205
0.289345,0.21
0.261975,0.215
0.258065,0.22
0.285435,0.225
0.293255,0.23
0.265885,0.235
0.258065,0.24
0.285435,0.245
0.289345,0.25
0.261975,0.255
0.258065,0.26
0.285435,0.265
0.293255,0.27
0.269795,0.275
0.258065,0.28
0.285435,0.285
0.293255,0.29
0.261975,0.295
0.258065,0.3
0.281525,0.305
0.293255,0.31
0.269795,0.315
0.258065,0.32
0.285435,0.325
0.293255,0.33
0.265885,0.335
0.258065,0.34
0.281525,0.345
0.293255,0.35
0.269795,0.355
0.258065,0.36
0.281525,0.365
0.293255,0.37
0.265885,0.375
0.258065,0.38
0.281525,0.385
0.297165,0.39
0.269795,0.395
0.254154,0.4
0.281525,0.405
0.293255,0.41
0.265885,0.415
0.258065,0.42
0.281525,0.425
0.293255,0.43
0.269795,0.435
0.258065,0.44
0.281525,0.445
0.297165,0.45
0.265885,0.455
0.258065,0.46
0.281525,0.465
0.297165,0.47
0.269795,0.475
0.258065,0.48
0.281525,0.485
0.293255,0.49
0.269795,0.495
0.258065,0.5
0.277615,0.505
0.297165,0.51
0.269795,0.515
0.254154,0.52
0.277615,0.525
0.293255,0.53
0.269795,0.535
0.254154,0.54
0.277615,0.545
0.297165,0.55
0.273705,0.555
0.254154,0.56
0.277615,0.565
0.293255,0.57
0.269795,0.575
0.254154,0.58
0.277615,0.585
0.297165,0.59
0.273705,0.595
0.254154,0.6
0.277615,0.605
0.293255,0.61
0.273705,0.615
0.258065,0.62
0.277615,0.625
0.297165,0.63
0.273705,0.635
0.254154,0.64
0.277615,0.645
0.293255,0.65
0.273705,0.655
0.258065,0.66
0.277615,0.665
0.297165,0.67
0.273705,0.675
0.254154,0.68
0.273705,0.685
0.297165,0.69
0.273705,0.695
0.258065,0.7
0.273705,0.705
0.297165,0.71
0.273705,0.715
0.254154,0.72
0.273705,0.725
0.293255,0.73
0.277615,0.735
0.258065,0.74
0.273705,0.745
0.297165,0.75
0.273705,0.755
0.258065,0.76
0.273705,0.765
0.293255,0.77
0.277615,0.775
0.258065,0.78
0.273705,0.785
0.297165,0.79
0.277615,0.795
0.254154,0.8
0.273705,0.805
0.293255,0.81
0.277615,0.815
0.258065,0.82
0.269795,0.825
0.293255,0.83
0.277615,0.835
0.254154,0.84
0.273705,0.845
0.293255,0.85
0.277615,0.855
0.258065,0.86
0.269795,0.865
0.297165,0.87
0.277615,0.875
0.254154,0.88
0.269795,0.885
0.293255,0.89
0.281525,0.895
0.258065,0.9
0.269795,0.905
0.297165,0.91
0.281525,0.915
0.254154,0.92
0.269795,0.925
0.293255,0.93
0.281525,0.935
0.258065,0.94
0.269795,0.945
0.297165,0.95
0.281525,0.955
0.258065,0.96
0.269795,0.965
0.293255,0.97
0.281525,0.975
0.258065,0.98
0.269795,0.985
0.297165,0.99
0.281525,0.995
0.254154,1
0.269795,1.005
0.293255,1.01
0.285435,1.015
0.258065,1.02
0.265885,1.025
0.297165,1.03
0.281525,1.035
0.258065,1.04
0.269795,1.045
0.293255,1.05
0.285435,1.055
0.258065,1.06
0.265885,1.065
0.297165,1.07
0.285435,1.075
0.258065,1.08
0.265885,1.085
0.293255,1.09
0.285435,1.095
0.261975,1.1
0.265885,1.105
0.293255,1.11
0.285435,1.115
0.258065,1.12
0.265885,1.125
0.293255,1.13
0.285435,1.135
0.261975,1.14
0.265885,1.145
0.293255,1.15
0.285435,1.155
0.258065,1.16
0.265885,1.165
0.293255,1.17
0.285435,1.175
0.261975,1.18
0.265885,1.185
0.293255,1.19
0.289345,1.195
0.258065,1.2
0.265885,1.205
0.293255,1.21
0.289345,1.215
0.261975,1.22
0.261975,1.225
0.293255,1.23
0.289345,1.235
0.258065,1.24
0.265885,1.245
0.289345,1.25
0.289345,1.255
0.261975,1.26
0.261975,1.265
0.293255,1.27
0.289345,1.275
0.258065,1.28
0.261975,1.285
0.289345,1.29
0.289345,1.295
0.261975,1.3
0.261975,1.305
0.293255,1.31
0.289345,1.315
0.258065,1.32
0.261975,1.325
0.289345,1.33
0.289345,1.335
0.265885,1.34
0.261975,1.345
0.293255,1.35
0.289345,1.355
0.258065,1.36
0.261975,1.365
0.289345,1.37
0.289345,1.375
0.265885,1.38
0.261975,1.385
0.289345,1.39
0.289345,1.395
0.258065,1.4
0.261975,1.405
0.289345,1.41
0.293255,1.415
0.265885,1.42
0.258065,1.425
0.289345,1.43
0.289345,1.435
0.261975,1.44
0.261975,1.445
0.289345,1.45
0.293255,1.455
0.265885,1.46
0.258065,1.465
0.289345,1.47
0.293255,1.475
0.261975,1.48
0.261975,1.485
0.285435,1.49
0.293255,1.495
0.265885,1.5
0.258065,1.505
0.289345,1.51
0.293255,1.515
0.261975,1.52
0.258065,1.525
0.285435,1.53
0.297165,1.535
0.265885,1.54
0.258065,1.545
0.285435,1.55
0.293255,1.555
